
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
red_o_token.png             Hendrik Brummermann, Katie Russel (kymara); CC0; Stendhal

data/sprites/items/tool/

fishing_rod.png       Nadine Schlonies (dine); GPL 2.0 or newer; Stendhal
foodmill.png          Astrid Sawatzky (Durkham); GPL 2.0 or newer; Stendhal
gold_pan.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
leather_needle.png    Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
magical_needle.png    tigertoes; CC BY-SA 3.0; Stendhal
magical_scissors.png  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
metal_detector.png    Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
pestleandmortar.png   omero; CC BY-SA 3.0; Stendhal
pick.png              Michael Williams (BizmasterStudios); CC BY 3.0; https://opengameart.org/node/84600
rotary_cutter.*       Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
scrolleraser.*        crisg, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/188214, https://freesvg.org/vector-clip-artof-speedy-eraser
shovel.png            laabadon, Jordan Irwin (AntumDeluge); CC0; https://openclipart.org/detail/116893
sugarmill.png         geomac?; ???; ??? (committed by kymara: d36cebb)
